Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD	Length
blob	1548	5.13	(1.71)	4.38	(2.6)	5.38	(2)	4
blond	662	6.20	(1.51)	4.00	(2.2)	5.45	(1.1)	5
blonde	1549	6.15	(2.82)	5.38	(2.84)	5.92	(2.29)	6
blood	1550	3.46	(1.51)	5.85	(3.05)	4.92	(2.69)	5
bloody	584	2.08	(1.16)	6.50	(1.63)	3.62	(1.83)	6
bloom	1551	7.20	(1.47)	4.60	(2.06)	5.27	(1.53)	5
blossom	44	7.09	(1)	4.61	(2.35)	5.52	(2.21)	7
blouse	1552	6.08	(2.29)	4.85	(2.41)	5.54	(2.54)	6
blowdryer	1553	5.88	(1.27)	3.76	(2.05)	5.88	(1.22)	9
blubber	663	3.31	(1.93)	4.58	(2.56)	3.42	(1.92)	7
blue	544	6.38	(1.96)	4.62	(2.32)	5.35	(1.83)	4
blues	1554	3.54	(2.57)	3.31	(2.1)	5.00	(2.68)	5
blurt	1555	4.27	(0.96)	5.27	(1.94)	4.60	(1.3)	5
board	664	5.00	(1.23)	3.56	(2.22)	5.24	(1.56)	5
boat	1556	7.60	(1.59)	4.93	(2.58)	5.07	(1.79)	4
body	665	5.38	(2.32)	5.46	(2.55)	5.42	(2.08)	4
boil	2561	4.11	(1.68)	4.66	(2.28)	5.38	(1.87)	4
bold	45	7.00	(1.55)	5.94	(2.02)	6.58	(1.96)	4
bolt	1557	5.18	(1.6)	5.64	(2.16)	4.55	(1.13)	4
bomb	46	1.90	(1.14)	7.31	(2.42)	4.52	(3.27)	4
bone	1558	5.15	(1.57)	5.17	(2.89)	5.25	(1.06)	4
bonus	1559	8.20	(1.32)	6.93	(2.74)	7.33	(1.45)	5
boobs	2562	5.94	(1.84)	4.16	(2.34)	5.71	(2.09)	5
book	47	5.55	(1.19)	4.20	(2.73)	5.45	(2.28)	4
boom	1560	4.67	(2.02)	6.33	(1.95)	4.20	(1.93)	4
boost	1561	6.47	(1.85)	5.79	(2.64)	4.57	(1.7)	5
booth	1562	5.13	(0.83)	4.13	(2.07)	4.60	(1.5)	5
boots	1563	6.50	(2.24)	4.86	(2.6)	5.86	(1.96)	5
bore	2563	3.25	(1.57)	3.05	(1.94)	4.81	(2.12)	4
bored	48	3.05	(1.28)	2.80	(2.4)	4.15	(1.9)	5
boring	1564	2.69	(2.84)	1.42	(1)	3.42	(1.44)	6
born	2564	6.24	(1.89)	4.94	(2.25)	5.12	(1.69)	4
borrow	2565	4.94	(1.33)	4.50	(1.81)	5.00	(1.61)	6
bothered	1565	2.73	(1.22)	6.27	(2.25)	4.33	(1.4)	8
bottle	666	6.21	(1.47)	4.26	(2.7)	4.89	(1.52)	6
bounty	1566	5.45	(0.82)	4.55	(1.37)	5.18	(0.4)	6
bouquet	667	7.55	(1.54)	5.85	(2.54)	6.05	(2.16)	7
bowl	49	5.54	(1.48)	3.50	(2.16)	4.58	(1.72)	4
boxer	585	4.92	(1.9)	5.04	(2.31)	4.73	(1.28)	5
boy	50	6.91	(1.73)	5.13	(2.42)	6.00	(2.09)	3
boyfriend	1567	7.19	(2.29)	6.44	(2.03)	4.94	(1.81)	9
bracelet	1568	7.07	(0.83)	5.64	(1.95)	5.93	(1.38)	8
braces	1569	3.00	(1.84)	5.14	(2.35)	3.29	(1.98)	6
brain	1570	6.73	(2.12)	5.93	(1.98)	5.80	(2.46)	5
brat	2566	2.78	(1.67)	4.58	(2.51)	5.05	(2.45)	4
brave	668	7.55	(1)	6.35	(2.32)	7.30	(1.87)	5
bravery	2567	7.00	(1.61)	6.20	(1.85)	6.63	(1.93)	7
break	1571	4.44	(2.5)	5.60	(2.2)	4.73	(1.94)	5
breast	51	5.43	(1.12)	4.43	(2.04)	4.96	(2.25)	6
breath	1572	6.25	(1.53)	4.75	(2.27)	6.25	(1.39)	6
breathe	2568	6.94	(1.56)	3.54	(2.41)	6.27	(2.30)	7
breathless	1573	5.09	(2.02)	5.82	(1.99)	4.64	(1.21)	10
breeze	669	7.20	(1.36)	4.45	(2.54)	5.50	(1.76)	6
bribe	1574	3.33	(1.37)	6.18	(1.89)	3.45	(1.57)	5
brick	1575	4.71	(2.02)	4.64	(1.98)	5.00	(1.62)	5
bride	670	7.88	(1.33)	6.25	(2.74)	5.67	(2.57)	5
bridesmaid	2569	7.03	(1.42)	6.09	(2.02)	5.15	(1.80)	10
bridge	1576	4.93	(1.1)	5.13	(2)	4.27	(1.58)	6
