,Subject,Valence,Arousal,Confidence,RT,dPrime,Accuracy,MetadPrime,Mratio
125,47203,High,Low,4.281879194630872,1.2966306790767703,1.4491117053418896,0.738255033557047,1.70175312540129,1.1743422671475796
126,47203,Low,High,3.785234899328859,1.2739974451251328,1.4838319494431664,0.7449664429530202,1.26010417294419,0.8492229685558839
127,47203,Low,Low,3.7094594594594597,1.2410116046958137,1.010308081687758,0.6621621621621622,1.62614387975548,1.6095524812975313
128,47284,High,High,4.7622377622377625,1.1985386820015265,1.5706615420730357,0.7832167832167832,1.66476745428907,1.0599148255020168
129,47284,High,Low,4.425675675675675,1.2005307030194672,1.4440020637160673,0.7635135135135135,1.3881852634139198,0.9613457614052809
130,47284,Low,High,4.79054054054054,1.18117301951861,1.7341951026236428,0.8053691275167785,1.57204137892175,0.9064962624697922
131,47284,Low,Low,4.904761904761905,1.1768052981205983,1.4943359565031435,0.7687074829931972,2.15687471307929,1.4433666697859135
132,47542,High,High,5.069767441860465,1.4513308148307258,1.6115068845456393,0.7786259541984732,2.56798493881933,1.5935302315158073
133,47542,High,Low,3.9477611940298507,1.5297327270600365,1.5331175246431554,0.7279411764705882,1.3393964039133999,0.8736423544732191
134,47542,Low,High,4.6992481203007515,1.5425439530736185,1.3646229358187296,0.7426470588235294,2.46036401867202,1.802962528396814
135,47542,Low,Low,4.486725663716814,1.5085439184185816,1.346119986607341,0.7435897435897436,2.54571190669826,1.8911478412219995
