"","SUBJ","RT.median","Confidence_RT.median","Accuracy_in_percent","Handedness_R_1","Total_Accepted_Trials","Gender_M_1","meta_d_0_30","meta_d_0_60","meta_d_0_90","meta_d_1_30","meta_d_1_60","meta_d_1_90","d_0_30","d_0_60","d_0_90","d_1_30","d_1_60","d_1_90","criterion_0_30","criterion_0_60","criterion_0_90","criterion_1_30","criterion_1_60","criterion_1_90","mratio_0_30","mratio_0_60","mratio_0_90","mratio_1_30","mratio_1_60","mratio_1_90","Confidence.mean_0_30","Confidence.mean_0_60","Confidence.mean_0_90","Confidence.mean_1_30","Confidence.mean_1_60","Confidence.mean_1_90","Accuracy.mean_0_30","Accuracy.mean_0_60","Accuracy.mean_0_90","Accuracy.mean_1_30","Accuracy.mean_1_60","Accuracy.mean_1_90"
"57","Subject_47284.txt",1.4659718733601,1.102,0.75,1,48,0,NA,NA,1.46845770729596,NA,NA,NA,NA,NA,1.44503132185847,NA,NA,NA,NA,NA,0.164630898089639,NA,NA,NA,NA,NA,1.01621168003982,NA,NA,NA,NA,NA,3.875,NA,NA,NA,NA,NA,0.770833333333333,NA,NA,NA
"58","Subject_47617.txt",1.30664884930593,1.1765,0.84,1,50,0,NA,NA,NA,1.1200016727401,NA,NA,NA,NA,NA,1.00631024614553,NA,NA,NA,NA,NA,0.054729639766832,NA,NA,NA,NA,NA,1.11297850442251,NA,NA,NA,NA,NA,3.18,NA,NA,NA,NA,NA,0.7,NA,NA
"59","Subject_11114.txt",1.24206239217892,1.3515,0.666666666666667,1,48,0,NA,NA,NA,NA,2.09036197819893,NA,NA,NA,NA,NA,1.39050125830171,NA,NA,NA,NA,NA,0.246825145844921,NA,NA,NA,NA,NA,1.50331541645061,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,0.76,NA
"60","Subject_11115.txt",1.40026341064367,1.243,0.82,1,50,0,NA,NA,NA,NA,NA,2.32576546568481,NA,NA,NA,NA,NA,2.67928070917915,NA,NA,NA,NA,NA,0.234804610627466,NA,NA,NA,NA,NA,0.868055914304461,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,0.92
"61","Subject_11116.txt",0.97004028633819,1.1425,0.854166666666667,1,48,0,1.79313793233427,NA,NA,NA,NA,NA,0.959680209220471,NA,NA,NA,NA,NA,0.823942567493251,NA,NA,NA,NA,NA,1.86847443044678,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA
"62","Subject_11117.txt",0.992471414923784,1.268,0.68,1,50,0,NA,2.15404717570763,NA,NA,NA,NA,NA,1.86025438269625,NA,NA,NA,NA,NA,0.624646403248728,NA,NA,NA,NA,NA,1.15793151503589,NA,NA,NA,NA,NA,4.45833333333333,NA,NA,NA,NA,NA,0.791666666666667,NA,NA,NA,NA
"63","Subject_11118.txt",0.927174541400746,1.126,0.875,1,48,0,NA,NA,2.18827913638441,NA,NA,NA,NA,NA,2.24585844709926,NA,NA,NA,NA,NA,0.180853448553856,NA,NA,NA,NA,NA,0.974362003629739,NA,NA,NA,NA,NA,4.76,NA,NA,NA,NA,NA,0.88,NA,NA,NA
"64","Subject_11119.txt",0.621844990979298,1.101,0.957446808510638,1,47,0,NA,NA,NA,1.5700799987537,NA,NA,NA,NA,NA,1.92478088968428,NA,NA,NA,NA,NA,1.10751138605291,NA,NA,NA,NA,NA,0.815718821382957,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,0.72,NA,NA
"65","Subject_11120.txt",1.0009701057279,1.36,0.72,1,50,0,NA,NA,NA,NA,2.78846863081688,NA,NA,NA,NA,NA,2.13232972805664,NA,NA,NA,NA,NA,-0.508280101188722,NA,NA,NA,NA,NA,1.30770986969179,NA,NA,NA,NA,NA,5.42,NA,NA,NA,NA,NA,0.84,NA
"66","Subject_11121.txt",0.84896088973619,1.326,0.84,1,50,0,NA,NA,NA,NA,NA,3.48673136698824,NA,NA,NA,NA,NA,3.0888941389494,NA,NA,NA,NA,NA,-0.0103265251221535,NA,NA,NA,NA,NA,1.12879600599526,NA,NA,NA,NA,NA,6.34042553191489,NA,NA,NA,NA,NA,0.957446808510638
